,CODES,DANCE,DENSE,MASK,MEAT,MEND,MOOD,MOON,MOST,NEST,NOSE,NOTES,PEACE,PEAKS,SAND,SETS,SNOOZE,SPEAK,SPIN,SPIT,STEAM,STOOP,TANNED,TASK,TEAK,TEAMS,TEST,TOADS,TONES,TUNES
CODES,0,4,2,2,4,2,1,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,1,4,2,2,2
DANCE,4,0,1,4,2,2,2,4,2,1,2,4,2,4,4,2,4,2,2,4,2,4,2,1,2,4,1,4,4,4
DENSE,2,1,0,1,1,2,2,1,2,2,4,4,1,2,4,1,2,1,2,2,2,2,4,1,2,4,1,4,4,4
MASK,2,4,1,0,1,1,1,2,1,1,1,2,2,1,2,1,4,1,1,2,1,1,2,4,4,2,1,4,4,4
MEAT,4,2,1,1,0,4,2,2,1,2,1,2,1,1,2,2,4,1,1,1,1,2,4,1,2,4,2,1,2,4
MEND,2,2,2,1,4,0,4,4,4,4,2,1,1,1,1,2,2,2,2,2,4,1,4,2,2,2,4,2,4,2
MOOD,1,2,2,1,2,4,0,1,4,4,1,2,2,1,1,2,1,1,2,2,1,1,4,1,1,4,2,1,2,4
MOON,4,4,1,2,2,4,1,0,1,1,1,1,4,4,4,2,1,1,1,1,1,1,2,2,1,2,1,4,4,4
MOST,4,2,2,1,1,4,4,1,0,4,1,2,4,4,2,1,2,1,1,2,2,2,4,4,4,2,2,4,4,2
NEST,4,1,2,1,2,4,4,1,4,0,2,1,2,1,2,1,4,2,1,2,1,2,1,4,2,4,1,4,4,2
NOSE,4,2,4,1,1,2,1,1,1,2,0,1,2,1,2,1,1,2,2,2,1,1,2,4,1,4,2,1,1,4
NOTES,4,4,4,2,2,1,2,1,2,1,1,0,2,1,4,1,4,1,2,1,2,2,4,2,2,2,4,4,2,1
PEACE,4,2,1,2,1,1,2,4,4,2,2,2,0,1,1,2,4,1,1,1,1,2,4,2,4,4,1,4,4,4
PEAKS,4,4,2,1,1,1,1,4,4,1,1,1,1,0,2,2,4,4,2,1,1,2,2,4,1,1,2,2,1,2
SAND,4,4,4,2,2,1,1,4,2,2,2,4,1,2,0,2,4,1,4,2,4,4,1,4,1,2,1,4,1,2
SETS,4,2,1,1,2,2,2,2,1,1,1,1,2,2,2,0,4,1,1,1,1,1,1,1,2,2,1,4,4,2
SNOOZE,4,4,2,4,4,2,1,1,2,4,1,4,4,4,4,4,0,1,1,1,1,4,2,4,4,2,4,4,2,1
SPEAK,2,2,1,1,1,2,1,1,1,2,2,1,1,4,1,1,1,0,4,2,2,1,2,2,2,1,1,4,2,4
SPIN,4,2,2,1,1,2,2,1,1,1,2,2,1,2,4,1,1,4,0,4,1,1,4,1,4,4,1,4,4,4
SPIT,4,4,2,2,1,2,2,1,2,2,2,1,1,1,2,1,1,2,4,0,1,1,2,2,1,4,1,4,4,4
STEAM,4,2,2,1,1,4,1,1,2,1,1,2,1,1,4,1,1,2,1,1,0,2,2,1,4,4,2,4,2,2
STOOP,4,4,2,1,2,1,1,1,2,2,1,2,2,2,4,1,4,1,1,1,2,0,4,1,1,4,2,2,2,4
TANNED,2,2,4,2,4,4,4,2,4,1,2,4,4,2,1,1,2,2,4,2,2,4,0,4,1,4,4,4,4,2
TASK,4,1,1,4,1,2,1,2,4,4,4,2,2,4,4,1,4,2,1,2,1,1,4,0,1,2,2,4,2,4
TEAK,4,2,2,4,2,2,1,1,4,2,1,2,4,1,1,2,4,2,4,1,4,1,1,1,0,4,1,1,4,1
TEAMS,1,4,4,2,4,2,4,2,2,4,4,2,4,1,2,2,2,1,4,4,4,4,4,2,4,0,2,1,1,1
TEST,4,1,1,1,2,4,2,1,2,1,2,4,1,2,1,1,4,1,1,1,2,2,4,2,1,2,0,2,4,4
TOADS,2,4,4,4,1,2,1,4,4,4,1,4,4,2,4,4,4,4,4,4,4,2,4,4,1,1,2,0,1,1
TONES,2,4,4,4,2,4,2,4,4,4,1,2,4,1,1,4,2,2,4,4,2,2,4,2,4,1,4,1,0,1
TUNES,2,4,4,4,4,2,4,4,2,2,4,1,4,2,2,2,1,4,4,4,2,4,2,4,1,1,4,1,1,0
